track,stored_sector,offset_hex,sha256,entropy,zero_bytes,high_bit_bytes,distinct_bytes
9,14,0x09e00,c004ee64d1ede036386a380332e99e7a57ed9a9ab7fbbb333dab92f8deeacdc3,4.299752,0,256,33
9,15,0x09f00,0f6b32ea9b61c572c89803ae9327007b13823ef9e82b2839cffbe23db1bc055a,4.261636,0,256,30
10,0,0x0a000,9ec400243a669a64325c361cfa47c802d77f0ded6aa3f388a4a25d590adcb166,4.272178,0,256,33
10,1,0x0a100,08ae75710dace28bb99e9526dc1de8c4ca828ab9b742b06a7b3957a72587d569,4.727761,2,254,46
10,2,0x0a200,e8289ff52a4c5928994fa9a99df91584fcd65bcb04ed704dc755a3b3fe27f6fe,4.292693,0,256,30
10,3,0x0a300,59adc3f514a0e3c8d0f22dde50c2bb9eacf6636b96eea5a9e8c18c88f1163515,4.308777,0,256,34
10,4,0x0a400,abb18da1b1bc1f597def699edfc45e6bf1041479133c93ac5d6301c61bde1798,4.396246,0,256,38
10,5,0x0a500,634437f69c55cebdb7960c22c648a920578427ba44f90698c7606b62f3ee7320,4.409634,2,254,35
10,6,0x0a600,abf4b382d05219602eb35aadb69e5cb4d2e11b6dfc9eb4e83100dc703118ac7f,4.513350,0,256,41
10,7,0x0a700,c03cd5051771c41ad34a8f5c803bc80f4ad19a2a53af71d32e6607dd054e29ac,4.241502,0,256,34
10,8,0x0a800,7ad7ead5003207c034e8ab48d4f72ab01a12fb44391f4a3a73187c25e674ece1,4.235519,0,256,34
10,9,0x0a900,354506b549dd1a5f7b13f77dc3baec79b0ae7a819df8214e2323781603bbd9c9,4.465437,2,254,38
10,10,0x0aa00,f2cc4aabc464b7428babaaaecfb2bee853369a08b28b070c82d1b43278cde068,4.188938,0,256,28
10,11,0x0ab00,c0312fdd6609becaa0bfc3b9ab799c74ca7bf36af9ef10e5d62b99dc923057b7,4.543007,4,252,44
10,12,0x0ac00,9f404f503791f5c950c58f26ccb1205db71b58bc7c9fc8f747b2db1da646f2e2,4.309530,4,252,32
10,13,0x0ad00,50ebb7441b97ad46bd3d924a4aec12e4481975e274381bb7d4adaac34da5cf4c,4.301211,4,252,35
10,14,0x0ae00,22c249f40a998001f9cb08c25ddd5bfb965cbdb6e865098e4df4e19b4728fe5c,5.117489,4,131,57
10,15,0x0af00,8048ccbe54237f0ef9da8c4745b78381b815b260c0302cd5180e3299ad361ed5,4.341733,25,2,44
11,0,0x0b000,465c18dd640bbbe380f735e2fdb60339e51c1a2d580052e5f1e79d24126b5eed,6.098198,17,121,97
11,1,0x0b100,0805fe291e87ad4fd61dfb6dbfef013534db2abbb3ea6938e5994f258f07645b,4.329079,36,128,58
11,2,0x0b200,5399a301ef19565303e41a941c8f468c8490f8423a2776079ce4067dd8f9ce29,4.361118,35,132,59
11,3,0x0b300,00fb2c542bc707410808691da188bc6ffb457ee2bfe0fcb0338e366ca08b472c,5.758842,22,117,80
11,4,0x0b400,6d689c7275327f0e0638fd7063272d308cf348a0b8c2de253b64f5a9ae137536,5.896966,18,115,82
11,5,0x0b500,d3f65773a412aa232b7cf4aeabb291482051cc36cb7adf7d0d28fbcbe07768ef,6.043843,12,101,96
11,6,0x0b600,c4f5ac2c284834b77b1e3b294d83ea9efdd9593ca0594f34dd7a7b00f94bf47d,5.051508,1,78,60
11,7,0x0b700,9b5779c612096e45a76a2119864bee46d4db44fd8044d80ffa30ed62bde3e58b,5.382875,4,81,68
11,8,0x0b800,50032a833f823f1f1b094379ae21813f5e273a80ab2966215b269ae30b1b2db8,5.141097,12,70,63
11,9,0x0b900,cf8f675892d2912e45e7b5c36c8a30ffa30ea42dff808f1daaad73ac48228c0e,3.818064,36,115,36
11,10,0x0ba00,efeaa1c3fb499f273c625d43ffeb67140788f33b3a87855df65702aca4717737,4.763196,17,0,32
11,11,0x0bb00,e495324a2eeb4ba5eef381e64798f602891a383d8b9a2c5d68d1b7f4fe6c6ae3,4.975688,28,31,44
11,12,0x0bc00,937b520f693cd11ab586eaad2b8df6a8d272da81b6288a83de4c4269b1a70324,4.216602,64,101,45
11,13,0x0bd00,02b23764daf496eb72d46d0e8ed059dd6ae8bb88988de07be7181e2166d9687f,5.605774,17,159,81
11,14,0x0be00,293209e1d7b68e216557c50cd5d06d6d1cb32677dea244a02db02a7f88cd1e8e,5.537209,9,154,81
11,15,0x0bf00,a0d9e1eb6ad0873c6351aa3be2337072b03e1e0d9cf57d146ae481d9358fcbc4,5.701759,3,149,82
12,0,0x0c000,77f98ce4ff00a54626e46da0faee42747e749c3819bd2a2d6d689aaf18bcf1b9,5.525880,21,193,82
12,1,0x0c100,98d56003ef77f91ac4b4f4558382493becf855c706f29c0178956ffbb6b228e4,6.317054,7,135,119
12,2,0x0c200,7846a25ae1e5d8ce8ee4bf60445c42c299b3cb3b5fff35a1d3018e3f133b5f40,5.808250,12,141,86
12,3,0x0c300,e76d4cfc7be4790b455122b046b30fd12c799f1968c37a8f7675ed9c06817d12,5.451848,6,173,75
12,4,0x0c400,f02507d37b5ea4d87968fd23adee9c282593c8cd88ac02befd51bd96d55bc01e,5.640117,8,145,72
12,5,0x0c500,d3852a72ddcd00e3bf74f57d8e74c87acd53d1f013e75fdc2ee663d3daf34c24,4.247648,0,6,26
12,6,0x0c600,60310b9faabc4cd159fe04c1041c1d6e754028cc2e9449ecf5d87f81cb20fc0c,6.030003,3,99,85
12,7,0x0c700,693b911d0ee5b15cb9a4c7fa8804d14d205de721f3e3470bcdc41b87ad98763b,5.834760,8,109,88
12,8,0x0c800,73469a7596078bc071ff8bd7e79869966e92b721acda6fc1feaed4e95c2d2b70,5.569402,15,120,76
12,9,0x0c900,eb85fb647b0af0f7beff246ba558cdad84f0baaa5488288113125d168f5d4919,5.224287,27,77,72
12,10,0x0ca00,e9c7dc5d3cbf3b6b5c4432fa6995b793b94851795da8476bf9429281a386eb19,5.373400,7,122,76
12,11,0x0cb00,4e1f089b3e2670405de85b2a18e42afdacdcbaa201105011d686c3fcffcab414,5.609199,8,131,85
